V4_0,Time_codelist,Time,Geography_codelist,Geography,Age_codelist,Age,Sex_codelist,Sex
11750,Year,2016,N92000002,Northern Ireland,0,0,2,Female
24486,Year,2016,N92000002,Northern Ireland,0,0,0,All
12736,Year,2016,N92000002,Northern Ireland,0,0,1,Male
12108,Year,2013,N92000002,Northern Ireland,0,0,2,Female
12523,Year,2013,N92000002,Northern Ireland,0,0,1,Male
24631,Year,2013,N92000002,Northern Ireland,0,0,0,All
11815,Year,2014,N92000002,Northern Ireland,0,0,2,Female
12440,Year,2014,N92000002,Northern Ireland,0,0,1,Male
24255,Year,2014,N92000002,Northern Ireland,0,0,0,All
11856,Year,2015,N92000002,Northern Ireland,0,0,2,Female
12393,Year,2015,N92000002,Northern Ireland,0,0,1,Male
24249,Year,2015,N92000002,Northern Ireland,0,0,0,All
11952,Year,2016,N92000002,Northern Ireland,1,1,2,Female
12482,Year,2013,N92000002,Northern Ireland,1,1,2,Female
24498,Year,2016,N92000002,Northern Ireland,1,1,0,All
12546,Year,2016,N92000002,Northern Ireland,1,1,1,Male
13091,Year,2013,N92000002,Northern Ireland,1,1,1,Male
25573,Year,2013,N92000002,Northern Ireland,1,1,0,All
12184,Year,2014,N92000002,Northern Ireland,1,1,2,Female
12651,Year,2014,N92000002,Northern Ireland,1,1,1,Male
24835,Year,2014,N92000002,Northern Ireland,1,1,0,All
11937,Year,2015,N92000002,Northern Ireland,1,1,2,Female
12548,Year,2015,N92000002,Northern Ireland,1,1,1,Male
24485,Year,2015,N92000002,Northern Ireland,1,1,0,All
12017,Year,2016,N92000002,Northern Ireland,2,2,2,Female
12639,Year,2016,N92000002,Northern Ireland,2,2,1,Male
24656,Year,2016,N92000002,Northern Ireland,2,2,0,All
12537,Year,2013,N92000002,Northern Ireland,2,2,2,Female
13008,Year,2013,N92000002,Northern Ireland,2,2,1,Male
25545,Year,2013,N92000002,Northern Ireland,2,2,0,All
12556,Year,2014,N92000002,Northern Ireland,2,2,2,Female
13174,Year,2014,N92000002,Northern Ireland,2,2,1,Male
25730,Year,2014,N92000002,Northern Ireland,2,2,0,All
12295,Year,2015,N92000002,Northern Ireland,2,2,2,Female
12723,Year,2015,N92000002,Northern Ireland,2,2,1,Male
25018,Year,2015,N92000002,Northern Ireland,2,2,0,All
12368,Year,2016,N92000002,Northern Ireland,3,3,2,Female
12787,Year,2016,N92000002,Northern Ireland,3,3,1,Male
12379,Year,2013,N92000002,Northern Ireland,3,3,2,Female
25155,Year,2016,N92000002,Northern Ireland,3,3,0,All
12865,Year,2013,N92000002,Northern Ireland,3,3,1,Male
25244,Year,2013,N92000002,Northern Ireland,3,3,0,All
12586,Year,2014,N92000002,Northern Ireland,3,3,2,Female
13026,Year,2014,N92000002,Northern Ireland,3,3,1,Male
25612,Year,2014,N92000002,Northern Ireland,3,3,0,All
12607,Year,2015,N92000002,Northern Ireland,3,3,2,Female
13248,Year,2015,N92000002,Northern Ireland,3,3,1,Male
25855,Year,2015,N92000002,Northern Ireland,3,3,0,All
12659,Year,2016,N92000002,Northern Ireland,4,4,2,Female
13315,Year,2016,N92000002,Northern Ireland,4,4,1,Male
25974,Year,2016,N92000002,Northern Ireland,4,4,0,All
12468,Year,2013,N92000002,Northern Ireland,4,4,2,Female
13212,Year,2013,N92000002,Northern Ireland,4,4,1,Male
25680,Year,2013,N92000002,Northern Ireland,4,4,0,All
12427,Year,2014,N92000002,Northern Ireland,4,4,2,Female
